S.N.,Date,Index,Absolute Change,Percentage Change
1,2019/05/28,"1,305.49",2.53,0.1945%
2,2019/05/27,"1,302.96",0.34,0.0262%
3,2019/05/26,"1,302.61",-11.93,-0.9077%
4,2019/05/23,"1,314.55",-5.08,-0.3853%
5,2019/05/22,"1,319.63",7.49,0.571%
6,2019/05/21,"1,312.14",4.42,0.3383%
7,2019/05/20,"1,307.71",-9.13,-0.693%
8,2019/05/19,"1,316.84",-1.87,-0.1419%
9,2019/05/16,"1,318.71",-2.29,-0.1735%
10,2019/05/15,"1,321.00",5.55,0.4218%
11,2019/05/14,"1,315.45",14.12,1.0849%
12,2019/05/13,"1,301.34",6.30,0.4867%
13,2019/05/12,"1,295.03",3.07,0.2376%
14,2019/05/09,"1,291.96",-5.64,-0.4343%
15,2019/05/08,"1,297.60",-3.68,-0.2825%
16,2019/05/07,"1,301.28",1.87,0.144%
17,2019/05/06,"1,299.41",21.73,1.7006%
18,2019/05/05,"1,277.68",-16.71,-1.2913%
19,2019/05/02,"1,294.39",-4.21,-0.3243%
20,2019/04/30,"1,298.60",-11.70,-0.8932%
21,2019/04/29,"1,310.31",-4.21,-0.3201%
22,2019/04/28,"1,314.51",22.39,1.7331%
23,2019/04/25,"1,292.12",12.83,1.003%
24,2019/04/24,"1,279.29",19.14,1.5188%
25,2019/04/23,"1,260.68",3.74,0.2977%
26,2019/04/22,"1,256.94",-7.26,-0.5742%
27,2019/04/21,"1,264.20",31.89,2.5878%
28,2019/04/18,"1,232.26",15.22,1.2504%
29,2019/04/17,"1,217.04",4.99,0.4119%
30,2019/04/16,"1,212.05",23.33,1.963%
31,2019/04/15,"1,188.71",4.70,0.3968%
32,2019/04/11,"1,184.02",-0.59,-0.0501%
33,2019/04/10,"1,184.61",3.52,0.2976%
34,2019/04/09,"1,181.10",-10.58,-0.8882%
35,2019/04/08,"1,191.68",9.32,0.7882%
36,2019/04/07,"1,182.36",17.16,1.4727%
37,2019/04/04,"1,165.20",-0.64,-0.0546%
38,2019/04/03,"1,165.84",2.01,0.1729%
39,2019/04/02,"1,163.47",13.72,1.1932%
40,2019/04/01,"1,149.99",6.43,0.5625%
41,2019/03/31,"1,143.59",-0.91,-0.0794%
42,2019/03/28,"1,144.53",2.01,0.1756%
43,2019/03/27,"1,140.71",0.00,-0.0003%
44,2019/03/26,"1,140.72",2.07,0.1817%
45,2019/03/25,"1,138.67",3.87,0.3414%
46,2019/03/24,"1,134.80",-5.78,-0.5063%
47,2019/03/21,"1,140.60",-6.86,-0.5982%
48,2019/03/19,"1,147.15",-6.83,-0.5915%
49,2019/03/18,"1,153.98",-7.47,-0.6433%
50,2019/03/17,"1,161.45",5.99,0.518%
51,2019/03/14,"1,155.50",5.40,0.4699%
52,2019/03/13,"1,150.10",-13.16,-1.1315%
53,2019/03/12,"1,163.26",20.33,1.7785%
54,2019/03/11,"1,142.93",14.28,1.2648%
55,2019/03/10,"1,128.71",0.94,0.0829%
56,2019/03/07,"1,127.77",16.01,1.4401%
57,2019/03/06,"1,111.76",9.12,0.8272%
58,2019/03/05,"1,102.64",2.06,0.1873%
59,2019/03/03,"1,100.58",-4.95,-0.4476%
60,2019/02/27,"1,105.53",2.97,0.2694%
61,2019/02/26,"1,102.56",-7.17,-0.6463%
62,2019/02/25,"1,109.73",7.41,0.6719%
63,2019/02/24,"1,102.32",-10.75,-0.9654%
64,2019/02/21,"1,113.07",0.84,0.0752%
65,2019/02/20,"1,112.23",-12.72,-1.1311%
66,2019/02/19,"1,124.96",22.44,2.0355%
67,2019/02/18,"1,102.51",-7.21,-0.6493%
68,2019/02/17,"1,109.72",-3.15,-0.2832%
69,2019/02/14,"1,112.87",-8.21,-0.7322%
70,2019/02/13,"1,121.08",-7.11,-0.6304%
71,2019/02/12,"1,128.19",-0.67,-0.0595%
72,2019/02/11,"1,128.86",1.34,0.1185%
73,2019/02/10,"1,127.53",-12.05,-1.0571%
74,2019/02/07,"1,139.57",-0.15,-0.0131%
75,2019/02/06,"1,139.72",-7.38,-0.6432%
76,2019/02/05,"1,147.10",2.83,0.2475%
77,2019/02/04,"1,144.27",-8.85,-0.7679%
78,2019/02/03,"1,153.06",-8.57,-0.7374%
79,2019/01/31,"1,161.63",1.04,0.0892%
80,2019/01/30,"1,160.59",-0.40,-0.0345%
81,2019/01/29,"1,160.99",-3.89,-0.3343%
82,2019/01/28,"1,164.89",2.79,0.2404%
83,2019/01/27,"1,162.09",-10.68,-0.911%
84,2019/01/24,"1,172.78",-0.20,-0.0174%
85,2019/01/23,"1,172.98",4.15,0.3548%
86,2019/01/22,"1,168.83",0.78,0.0666%
87,2019/01/21,"1,168.06",-10.86,-0.9215%
88,2019/01/20,"1,179.17",-8.60,-0.7237%
89,2019/01/17,"1,187.77",-0.20,-0.0169%
90,2019/01/16,"1,187.97",-7.57,-0.6331%
91,2019/01/15,"1,195.54",17.51,1.4863%
92,2019/01/14,"1,186.80",11.74,0.9993%
93,2019/01/13,"1,175.05",-5.78,-0.4898%
94,2019/01/10,"1,180.84",1.48,0.1255%
95,2019/01/09,"1,179.36",2.29,0.1947%
96,2019/01/08,"1,177.07",-0.40,-0.0339%
97,2019/01/07,"1,177.46",6.67,0.57%
98,2019/01/06,"1,170.79",-7.22,-0.6129%
99,2019/01/03,"1,178.87",-1.56,-0.132%
100,2019/01/02,"1,180.43",-5.42,-0.4573%
101,2019/01/01,"1,185.91",-1.36,-0.115%
102,2018/12/31,"1,187.28",-17.26,-1.4331%
103,2018/12/30,"1,204.54",-10.62,-0.8736%
104,2018/12/26,"1,216.27",30.26,2.5517%
105,2018/12/25,"1,186.03",-5.71,-0.4788%
106,2018/12/24,"1,191.74",-6.45,-0.5379%
107,2018/12/23,"1,198.18",32.24,2.7652%
108,2018/12/20,"1,165.97",3.28,0.2818%
109,2018/12/19,"1,162.70",-5.46,-0.4673%
110,2018/12/18,"1,168.17",-14.61,-1.2351%
111,2018/12/17,"1,182.78",15.17,1.2994%
112,2018/12/16,"1,167.67",18.89,1.6443%
113,2018/12/13,"1,148.78",7.60,0.6662%
114,2018/12/12,"1,141.18",0.08,0.0066%
115,2018/12/11,"1,141.10",-3.08,-0.2695%
116,2018/12/10,"1,144.19",12.49,1.1037%
117,2018/12/09,"1,131.70",10.85,0.6777%
118,2018/12/06,"1,120.84",2.70,0.2419%
119,2018/12/04,"1,142.01",10.27,0.9072%
120,2018/12/03,"1,131.73",0.90,0.0792%
121,2018/12/02,"1,130.63",-17.73,-1.544%
122,2018/11/29,"1,148.70",-10.37,-0.8949%
123,2018/11/28,"1,159.38",-2.10,-0.1812%
124,2018/11/27,"1,161.43",1.61,0.1385%
125,2018/11/26,"1,160.28",-6.35,-0.5441%
126,2018/11/25,"1,166.43",-14.82,-1.2543%
127,2018/11/22,"1,181.41",-1.14,-0.0964%
128,2018/11/21,"1,182.74",1.00,0.0844%
129,2018/11/20,"1,181.66",-8.54,-0.7179%
130,2018/11/19,"1,189.56",-5.90,-0.4934%
131,2018/11/18,"1,194.87",-10.14,-0.8416%
132,2018/11/15,"1,205.02",-3.88,-0.32%
133,2018/11/14,"1,208.89",1.32,0.11%
134,2018/11/13,"1,207.57",14.24,1.19%
135,2018/11/12,"1,193.34",-12.44,-1.03%
136,2018/11/11,"1,205.22",-17.31,-1.4158%
137,2018/11/06,"1,222.53",3.33,0.27%
138,2018/11/05,"1,219.20",11.92,0.99%
139,2018/11/04,"1,207.28",-13.70,-1.12%
140,2018/11/01,"1,220.98",-0.48,-0.04%
141,2018/10/31,"1,221.46",-2.90,-0.24%
142,2018/10/30,"1,224.36",7.43,0.61%
143,2018/10/29,"1,216.93",-10.56,-0.86%
144,2018/10/28,"1,227.49",-13.62,-1.1%
145,2018/10/25,"1,241.11",-8.82,-0.7056%
146,2018/10/24,"1,249.93",8.09,0.65%
147,2018/10/23,"1,241.84",-2.70,-0.2169%
148,2018/10/22,"1,244.54",-1.98,-0.1588%
149,2018/10/21,"1,246.52",4.89,0.39%
150,2018/10/15,"1,241.63",-0.80,-0.06%
151,2018/10/14,"1,242.43",14.15,1.15%
152,2018/10/11,"1,228.28",9.95,0.82%
153,2018/10/10,"1,218.33",0.40,0.03%
154,2018/10/09,"1,217.93",-2.59,-0.21%
155,2018/10/08,"1,220.52",6.16,0.51%
156,2018/10/07,"1,214.36",-13.01,-1.06%
157,2018/10/04,"1,227.37",-3.23,-0.26%
158,2018/10/03,"1,230.60",-10.76,-0.87%
159,2018/10/02,"1,241.36",2.69,0.22%
160,2018/10/01,"1,238.67",-18.04,-1.4355%
161,2018/09/30,"1,256.71",-10.47,-0.8262%
162,2018/09/27,"1,267.18",-10.56,-0.83%
163,2018/09/26,"1,277.74",-2.31,-0.18%
164,2018/09/25,"1,280.05",22.37,1.7787%
165,2018/09/23,"1,257.68",2.61,0.21%
166,2018/09/20,"1,255.07",-3.74,-0.2971%
167,2018/09/18,"1,258.81",2.41,0.1918%
168,2018/09/17,"1,256.40",-0.13,-0.01%
169,2018/09/16,"1,256.53",11.69,0.94%
170,2018/09/13,"1,244.84",14.13,1.15%
171,2018/09/12,"1,230.71",13.06,1.07%
172,2018/09/11,"1,217.65",6.77,0.56%
173,2018/09/10,"1,210.88",-8.10,-0.66%
174,2018/09/09,"1,218.98",-10.79,-0.88%
175,2018/09/06,"1,229.77",-4.36,-0.35%
176,2018/09/05,"1,234.13",23.89,1.97%
177,2018/09/04,"1,210.24",3.98,0.33%
178,2018/09/03,"1,206.26",15.98,1.34%
