198,9/22/2020,"1,546.16",-22.91,-1.46%
199,9/21/2020,"1,569.06",-6.12,-0.39%
200,9/20/2020,"1,575.18",3,0.19%
201,9/17/2020,"1,572.19",30.78,2.00%
202,9/16/2020,"1,541.40",5.36,0.35%
203,9/15/2020,"1,536.04",-4.47,-0.29%
204,9/14/2020,"1,540.51",3.26,0.21%
205,9/13/2020,"1,537.25",16.56,1.09%
206,9/10/2020,"1,520.69",12.49,0.83%
207,9/9/2020,"1,508.21",13.05,0.87%
208,9/8/2020,"1,495.16",7.35,0.49%
209,9/7/2020,"1,487.81",-12.17,-0.81%
210,9/6/2020,"1,499.98",-10.45,-0.69%
211,9/3/2020,"1,510.42",-0.15,-0.01%
212,9/2/2020,"1,510.57",25.58,1.72%
213,8/31/2020,"1,484.99",22.31,1.53%
214,8/30/2020,"1,462.67",4.64,0.32%
215,8/27/2020,"1,458.04",-4,-0.27%
216,8/26/2020,"1,462.04",21.1,1.46%
217,8/25/2020,"1,440.94",9.34,0.65%
218,8/24/2020,"1,431.61",21.26,1.51%
219,8/23/2020,"1,410.34",12.77,0.91%
220,8/20/2020,"1,397.57",6.28,0.45%
221,8/19/2020,"1,391.30",-16.6,-1.18%
222,8/18/2020,"1,407.90",5.68,0.41%
223,8/17/2020,"1,402.22",10.75,0.77%
224,8/16/2020,"1,391.46",-17.33,-1.23%
225,8/13/2020,"1,408.79",-16.53,-1.16%
226,8/12/2020,"1,425.32",1.51,0.11%
227,8/11/2020,"1,423.81",-6.61,-0.46%
228,8/10/2020,"1,430.42",37.74,2.71%
229,8/9/2020,"1,392.68",11.3,0.82%
230,8/6/2020,"1,381.38",-1.29,-0.09%
231,8/5/2020,"1,386.17",-17.69,-1.26%
232,8/3/2020,"1,403.87",7.59,0.54%
233,8/2/2020,"1,396.28",-42.78,-2.97%
234,7/30/2020,"1,439.06",7.53,0.53%
235,7/29/2020,"1,431.53",-23.36,-1.61%
236,7/28/2020,"1,454.89",-7.59,-0.52%
237,7/27/2020,"1,462.48",-2.62,-0.18%
238,7/26/2020,"1,465.11",22.4,1.55%
239,7/23/2020,"1,442.62",10.13,0.71%
240,7/22/2020,"1,432.45",-17.5,-1.21%
241,7/21/2020,"1,449.95",-14.99,-1.02%
242,7/20/2020,"1,464.94",-14.09,-0.95%
243,7/19/2020,"1,479.03",84.26,6.04%
244,7/16/2020,"1,394.77",32.42,2.38%
245,7/15/2020,"1,362.35",14.9,1.11%
246,7/14/2020,"1,347.45",5.04,0.38%
247,7/13/2020,"1,342.41",2.12,0.16%
248,7/12/2020,"1,340.29",9.02,0.68%
249,7/9/2020,"1,331.11",4.57,0.34%
250,7/8/2020,"1,326.54",-10.13,-0.76%
251,7/7/2020,"1,336.67",37.93,2.92%
252,7/6/2020,"1,298.73",33.27,2.63%
253,7/1/2020,"1,336.53",75.77,6.01%
254,6/30/2020,"1,260.76",72.05,6.06%
255,6/29/2020,"1,188.71",-12.87,-1.07%
256,5/13/2020,"1,201.58",-24.58,-2.00%
257,5/12/2020,"1,226.16",-25.3,-2.02%
258,3/22/2020,"1,251.46",-18.2,-1.43%
259,3/19/2020,"1,269.31",13.5,1.08%
260,3/18/2020,"1,255.80",-16.26,-1.28%
261,3/17/2020,"1,272.07",-44.33,-3.37%
262,3/16/2020,"1,316.40",3.35,0.26%
263,3/15/2020,"1,313.04",-64.14,-4.66%
264,3/12/2020,"1,377.18",-45.91,-3.23%
265,3/11/2020,"1,423.09",73.78,5.47%
266,3/10/2020,"1,349.32",-86.39,-6.02%
267,3/5/2020,"1,435.70",-5.5,-0.38%
268,3/4/2020,"1,441.20",-68.47,-4.54%
269,3/3/2020,"1,509.68",14.37,0.96%
270,3/2/2020,"1,495.30",-96.06,-6.04%
271,3/1/2020,"1,591.36",-40.82,-2.50%
272,2/27/2020,"1,632.18",36.05,2.26%
273,2/26/2020,"1,596.13",50.93,3.30%
274,2/25/2020,"1,545.20",43.02,2.86%
275,2/24/2020,"1,502.18",-1.96,-0.13%
276,2/23/2020,"1,504.14",69.56,4.85%
277,2/20/2020,"1,434.58",29.32,2.09%
278,2/19/2020,"1,405.26",5.24,0.37%
279,2/18/2020,"1,400.01",1.77,0.13%
280,2/17/2020,"1,398.24",34.26,2.51%
281,2/16/2020,"1,363.98",19.39,1.44%
282,2/13/2020,"1,344.59",-1.39,-0.10%
283,2/12/2020,"1,345.98",4.6,0.34%
284,2/11/2020,"1,341.38",17.11,1.29%
